service_id,partner_name,service,phone,email
154102000014294,Credoks Digital Service PLC,,,
Teleplay0001,Nano Technology plc,,,
153352000014279,TechnoLab Interactive PLC,,,
teleBeat0001,Go Digital Service PLC,,,
30021100007243,Digital Virgo Technology Solution PLC,,,
300100200007127,MOBILE SPIN VAS PLC-131,,,
154222000014499,I Connect Digital Service PLC,,,
154312000014334,Teleport Technologies PLC,,,
154102000014293,Credoks Digital Service PLC,,,
156872000014651,Technolab Interactive PLC,,,
300039200007039,Ashenafi negusse /Business Excel,,,
154282000014331,SHEDELI-TRADING-PLC2 (SIM backu),,,
150792000013982,Playstream Interactive PLC,,,
300089200007089,Ashenafi Negussie / Import Exsport,,,
133282000014546,Ashenafi negusse/Kihilot Acadamey,,,
154742000014381,PLAYSTREAM INTERACTIVE PLC,,,
42822000002838,FANA BROADCASTING CORPORATE S.C (8100),,,
30023100007280,Hab Solution and Trading One Member plc,,,
154222000014491,I Connect Digital Service PLC,,,
Teleplay0003,Nano Technology plc,,,
151602000014600,Kulu network plc,,,
Teleplay0002,Nano Technology plc,,,
teleBeat0002,Go Digital Service PLC,,,
151602000014049,Kulu network plc,,,
30025000007311,SNAPWRE Technologies plc,API,934257234,
30011900007276,Digital Virgo (Youscribe ),,,
30013400007196,I Connect Digital Service PLC,,,
156362000014526,Yishemtu Technology plc,,,
30011900007129,Digital Virgo Technology Solution PLC,,,
30020100007235,Alhabek Trading plc,,,
30019500007239,Chartered Advisory Service PLC,,,
30013700007216,ALEHABEK TRADING PLC,,,
300100200007101,Techstar Technologies PLC,,,
1572900007302,Chartered Advisory Service PLC(Maya),,,
156062000014506,PLAYSTREAM INTERACTIVE PLC,,,
133282000010590,Ashenafi negusse/Addis Learning,,,
151112000014518,Kutak solution,,,
154312000014335,Teleport Technologies PLC,,,
30013400007172,Hab Solution and Trading One Member plc,,,
157292000014747,Chartered Advisory Service PLC,,,
151112000014014,Kutak Solutions,,,
133312000012908,Highlight Tradings,,,
102132000005008,Startups technologis plc,,,
133642000010806,ATN Technology,API,924000005,ahmed@atntechnology.net
106762000005276,Eco Plus IT Solution,,,
30013400007173,TECHVIEW DIGITAL SERVICE PLC,API,911230814,
133642000010805,ATN Technology,API,924000005,ahmed@atntechnology.net
300100200007109,ALL AFRICANS ENTERPRENER PLC,,,
136242000012237,Highest Techinology plc,,,
151142000014048,Hikma PLC,,,
156122000014514,FMS IT Solution PLC,,,
133292000010809,Peace Technology,API,911299848,info@ethiochef.com
134782000011607,Speed Tech Technologies PLC,,,
153772000014239,Swift Tech,API,913979565,lidyasolomon66@gmail.com
104032000005033,251IDEAS2,,,
300069200007069,BETE ZEMA ICT Solutions PLC,,,
132732000010305,EXCELLENT YOUTH PERSONALITY DEVELOPMENT ORG,API,963000004,
30021900007271,Hab Solution and Trading One Member plc,,,
154222000014364,I Connect Digital Service PLC,,,
300076200007076,FMS IT SOLUTION PLC,,,
104032000004911,251 ideas,,,
115042000005888,Amisoft IT Solution,API,911237767,basit@kiya-tech.com
30013700007213,HOPE ENTERTAINMENT,,,
30020200007236,Shimmelis Abebe Megersa,,,
109052000005588,Kiya Tech plc,,,
151682000014136,Teleport Technologies PLC,,,
154362000014357,Matrix ICT Solutions PLC,,,
106232000005240,Comtel Trading,,,
73012000003917,Tecido Trading plc,,,
300021200007021,ALHABEK TRADING PLC,,,
152202000014113,Yuniversal Marketing plc,,,
30023300007283,YISAKOR Trading PLC,,,
300066200007066,ELU STAR TRADING PLC,,,
146092000013106,Chartered Advisory Service PLC,,,
30013400007185,Hule Addis,,,
Teleplay0004,Nano Technology plc,,,
134892000011904,Elpida Trading PLC,,,
106702000005290,NIZECELL,,,
155452000014450,AMARACH MEDIA & ENTERTAINMENT PLC,,,
154312000014336,Teleport Technologies PLC,,,
136142000012292,ARMA technology plc,,,
300100200007100,Tsehay Ashagrie Telecommunication VAS,,,
150772000013989,Alif Technologies P.L.C,,,
30013700007214,HOPE ENTERTAINMENT_MUSIC,,,
151512000014110,Amha Wehibe Importer and Technology,,,
3000112000007010,SUCCESS TRADING PLC,API,911583036,
154192000014304,Yoha Technology PLC,API,912077131,Kidusanmelaku31@gmail.com
155462000014438,Elfe Technology PLC,API,911833531,eliftech2022@gmail.com
154382000014351,Zema Technologies PLC,,,
122072000006508,Tak Technologies plc,,,
156232000014529,Circle Technology PLC,API,966205052,haymanot.negeri@gmail.com
150732000013987,Danat ICT System PLC,API,921308958,
156072000014504,PLAYSTREAM INTERACTIVE PLC,,,
300061200007061,Adasha Tech Solution/ Temesgen Adugna,,,
151552000014125,Fikrie Gebeyew Telecommunication VAS,,,
teleBeat0004,Go Digital Service PLC,,,
Teleplay0010,Nano Technology plc,,,
30023600007286,Ashenafi Nigussie Teklu,,,
151732000014058,Glory Technology PLC,,,
151652000014053,Tsehay Ashagrie Telecommunication VAS,,,
151342000014031,Rimas Technologies/Mustefa & Sones,API,911440173,abubekermustefa51@gmail.com
300093200007093,Ereality Technologies PLC,API,980269063,ethiokids37@gmail.com
152332000014186,Workalem Gugssa,,,
300053200007053,HAYATECH Trading PLC,,,
133632000010745,Link Net Communication plc,API,953845539,gezaet@gmail.com
156562000014551,Right Tech,API,911064719,rightapi@gmail.com
300059200007059,Kutak solutions,,,
300071200007071,Pietech VAS PLC,,,
300001200007002,Bora General Trading,,,
150632000013978,Jegnit ICT Sytem PLC,,,
153042000014177,Xerox trading plc,API,912968303,xeroxtradingplc@gmail.com
300100200007128,MOBILE SPIN VAS PLC-131,,,
30013700007215,ALHABEK TRADING PLC,,,
Teleplay0006,Nano Technology plc,,,
155552000014453,Black Future consultancy S.C,API,970695169,
30013700007217,MG ICT SOLUTION PLC,,,
30013500007209,BK AUTOSPA ONE MEMBERSHIP PLC,API,911003268,
30020400007238,Techmaster,,,
151542000014042,Aman Wassie Abdie,API,978555578,
30021200007244,DEWAY CALL CENTER AND VAS PLC,API,945457777,
151312000014030,BTY Technology PLC,,,
30013700007212,BST Media PLC,,,
152042000014097,Telco vas,API,911213682,info@telcovas.et
155552000014454,Black Future consultancy S.C,API,970695169,
151022000014034,Singitan Multimedia & Press Works PLC,,,
156682000014718,Warkinesh Tulu,,,
151972000014087,Excellent Technologies,API,911386043,gideymichael@gmail.com
152432000014172,Itex Technology consulting PLC,,,
300205200007237,The Choosen Telecommunication,API,93 506 1284,dawit.dereje@choosentelecom.com
151702000014077,Yoseph Abera,API,930411413,Yoseph.aberra@gmail.com
300009200007013,Tecno trande It Solution plc,,,
150932000014039,Yessuneh defo Aman plc,,,
151182000014011,Qene Technologies Plc,,,
30012500007138,Feven Eyasu,,,
155572000014482,Easy life solutions ICT PLC,,,
300068200007068,Yam trading and digital service PLC,API,918079955,
156592000014586,MUSTEFA & SONS PLC,API,911440173,abubekermustefa51@gmail.com
300067200007067,GLORY TECHNOLOGY,,,
30024600007305,Playstream Interactive PLC(victory play),,,
152372000014181,Bikila Lema,,,
156832000014659,Alen home solution,,,
300097200007097,Right Tech Solution PLC,API,911064719,rightapi@gmail.com
156442000014547,Wilu Technologies PLC/Omega Engineering PLC,,,
156992000014665,DANIEL ABEBE NEGATU,API,929019913,fasikateferramd@gmail.com
Teleplay0007,Nano Technology plc,,,
155232000014397,Auto Safety PLC,API,934472222,
156692000014719,Marame Amante VAS,,,
3000172000007010,PLAYSTREAM INTERACTIVE PLC,,,
151532000014072,Feven Eyasu Achaw/Be artistic,,,
30019200007236,Zemen Technology PLC,,,
300054200007054,Meet consultancy,,,
30011900007133,Peace technology PLC,API,911299848,info@ethiochef.com
152402000014137,Shimelis Matebu Debela,API,911988257,shimelis.matebu@gmail.com
Teleplay0005,Nano Technology plc,,,
3000122000007010,MTK TECHNOLOGYS PLC,,,
3000282000007020,Cozy Net computer and related work plc,API,929482020,cozynetcomputer@gmail.com
156572000014603,Ahadu Technology,,,
157152000014717,Blue Line IT solution,,,
154622000014365,Star Technology,API,962092805,yusra@star-tech.website
3000132000007010,FEVEN EYASU ACHAW / interior Design,,,
155132000014399,Future IT Technologies PLC,API,975401115,
153382000014188,Elshaday Abera,,,
3000232000007020,AGE ENGINEERING PLC,,,
151712000014056,Inception Technologies/Dawit Nehemia,,,
134492000011225,WB Information Technology plc,,,
152012000014209,HELLO MEREJA PLC,API,985089374,
152322000014139,Mulu Matebu,,,
107192000005395,Aplus Telecom Service,API,911239002,
152382000014180,Samson Girma,API,944917370,
157742000014826,Wendem Kalid megibare senay,API,,kalidnasir2024@gmail.com
300006200007010,Bit Apps ICT Solution PLC,,,
156902000014658,Fraf IT Solution,,,
152502000014135,Matrix Consultancy/Berihun Gezahegn,,,
