service_id,short_code,partner_name,service,product_id,spid,phone,email,account_manager
154102000014294,623,Credoks Digital Service PLC,API,1000020927,15410,943177956,,Abay
Telefun01,130,Modertech Telecom VAS PLC,API,Ethio130yearMegaPromo01,130,,,Meron
153352000014279,9836,TechnoLab Interactive PLC,API,Ethio130yearMegaPromo04,130,,,Meron
Teleplay0001,830,Nano Technology plc,API,Ethio130yearMegaPromo05,130,924135820,,Abay
30021100007243,6114,Digital Virgo Technology Solution PLC,API,10000302761,300119,922738996,,Abay
teleBeat0001,853,Go Digital Service PLC,API,48531001,GoDigital_tech_plc,,,Meron
154222000014499,985,I Connect Digital Service PLC,API,1000021600M,15422,,,Meron
300100200007127,131,MOBILE SPIN VAS PLC-131,API,1000030147,300118,910453900,,Abay
154282000014331,619,SHEDELI-TRADING-PLC2 (SIM backu),API,1000021911,15428,,,Meron
154102000014293,623,Credoks Digital Service PLC,API,1000020926,15410,943177956,,Abay
154312000014334,604,Teleport Technologies PLC,API,1000020993,15431,943177956,,Abay
30011900007276,6446,Digital Virgo (Youscribe ),API,10000302794,300119,922738996,,Abay
Telebattle644Daily,644,Digicom Intellegent systems PLC,API,TelebattleDaily,644,,,Meron
156872000014651,927,Technolab Interactive PLC,API,1000021305,15687,,,Meron
300039200007039,6424,Ashenafi negusse /Business Excel,API,1000030052,300039,911216238,,Abay
30025000007311,8796,SNAPWRE Technologies plc,API,10000302830,300250,934257234,,Tolosa
30023100007280,6698,Hab Solution and Trading One Member plc,API,10000302798,300231,,,Meron
150792000013982,9604,Playstream Interactive PLC,API,1000020222,15079,,,Meron
300089200007089,6292,Ashenafi Negussie / Import Exsport,API,1000030103M,300089,911216238,,Abay
30024600007305,849,Playstream Interactive PLC(victory play),API,10000302823,300246,,,Meron
133282000014546,6595,Ashenafi negusse/Kihilot Acadamey,API,1000021765,13328,911216238,,Abay
42822000002838,8100,FANA BROADCASTING CORPORATE S.C (8100),API,1000011893,42822,912461010,,Meskerem
154742000014381,9143,PLAYSTREAM INTERACTIVE PLC,API,1000021188,15474,,,Meron
30021200007244,6295,DEWAY CALL CENTER AND VAS PLC,API,10000302762,300212,945457777,,Tolosa
Teleplay0003,830,Nano Technology plc,API,40001001,nano_tech_plc,924135820,,Abay
154222000014491,985,I Connect Digital Service PLC,API,1000021587M,15422,,,Meron
Telefun02,130,Modertech Telecom VAS PLC,API,Ethio130yearMegaPromo01,130,,,Meron
151602000014600,6916,Kulu network plc,API,Ethio130yearMegaPromo04,130,922557557,,Abay
Teleplay0002,830,Nano Technology plc,API,Ethio130yearMegaPromo05,130,924135820,,Abay
30013400007196,985,I Connect Digital Service PLC,API,1000030223,15422,,,Meron
teleBeat0002,853,Go Digital Service PLC,API,48531001,GoDigital_tech_plc,,,Meron
30013400007172,9367,Hab Solution and Trading One Member plc,API,1000030199,300142,,,Meron
102132000005008,8469,Startups technologis plc,API,1000008496,10213,943177956,,Kalkidan
151602000014049,9672,Kulu network plc,API,1000021535,15160,922557557,,Abay
30013700007216,8380,ALEHABEK TRADING PLC,API,1000030243,300176,,,Meron
30020100007235,8494,Alhabek Trading plc,API,1000030273,300150,,,Meron
30019500007239,6026,Chartered Advisory Service PLC,API,1000030267,300194,911508341,,samuel
30011900007129,6114,Digital Virgo Technology Solution PLC,API,1000030149,300119,922738996,,Abay
30021900007271,6694,Hab Solution and Trading One Member plc,API,10000302789,300237,,,Meron
151602000014237,3 DAYS,Kulu network plc (Elf Plus),API,15160,9791,922557557,,Abay
156362000014526,3 DAYS,Yishemtu Technology plc,API,15636,8601,911866243,,samuel
300100200007101,9013,Techstar Technologies PLC,API,1000030115,300084,,,Meron
133312000012908,7758,Highlight Tradings,API,1000020617,13331,913979565,,Aziza
133282000010590,7595,Ashenafi negusse/Addis Learning,API,1000016485,13328,911216238,,Abay
151112000014518,6260,Kutak solution,API,1000021658,15111,920407025,,Kalkidan
157292000014747,863,Chartered Advisory Service PLC,API,1000022069,15729,911222911,,Abay
Telefun04,130,Modertech Telecom VAS PLC,API,Ethio130yearMegaPromo01,130,,,Meron
156062000014506,6356,PLAYSTREAM INTERACTIVE PLC,API,Ethio130yearMegaPromo04,130,,,Meron
30013400007173,9149,TECHVIEW DIGITAL SERVICE PLC,API,Ethio130yearMegaPromo05,130,911230814,,Tolosa
151112000014014,9677,Kutak Solutions,API,1000020299,15111,920407025,,Kalkidan
