service_id,phone,account_manager,partner_name,service
156362000014526,911866243,Samuel,,
30019500007239,911508341,Samuel,,
1572900007302,911508341,Samuel,,
157292000014747,911508341,Samuel,,
136242000012237,911866243,Samuel,,
156122000014514,911915891,Samuel,,
300076200007076,911915891,Samuel,,
154362000014357,910582527,Samuel,,
146092000013106,911508341,Samuel,,
155452000014450,980269063,Samuel,,
154382000014351,923115388,Samuel,,
300001200007002,911257776,Samuel,,
150632000013978,965408471,Samuel,,
30020400007238,922632321,Samuel,,
156682000014718,995569864,Samuel,,
150932000014039,912656806,Samuel,,
156442000014547,912675056,Samuel,,
3000122000007010,964423221,Samuel,,
153382000014188,900763214,Samuel,,
3000232000007020,923279021,Samuel,,
151712000014056,912751004,Samuel,,
134492000011225,911898317,Samuel,,
152322000014139,NA,Samuel,,
300006200007010,910990147,Samuel,,
152342000014182,900726484,Samuel,,
155632000014487,944560336,Samuel,,
152362000014184,NA,Samuel,,
154652000014387,913186710,Samuel,,
151032000014021,910103399,Samuel,,
150742000014020,910106049,Samuel,,
156312000014535,918254561,Samuel,,
150922000014038,912656806,Samuel,,
153932000014271,911508341,Samuel,,
30019400007238,911508341,Samuel,,
156422000014548,911584476,Samuel,,
30013400007151,911485113,Samuel,,
300088200007088,911208637,Samuel,,
30013400007194,913186710,Samuel,,
155532000014451,911508341,Samuel,,
30013400007152,911485113,Samuel,,
30021700007249,970305059,Samuel,,
30024400007303,912629509,Samuel,,
30021700007264,970305059,Samuel,,
30021700007265,970305059,Samuel,,
30019600007240,911508341,Samuel,,
300206200007238,935285173,Samuel,,
30012500007140,NA,Samuel,,
42822000002838,912461010,Meskerem,,
106762000005276,933683247,Meskerem,,
151142000014048,933683247,Meskerem,,
134782000011607,933683247,Meskerem,,
106702000005290,911518751,Meskerem,,
157152000014717,911200869,Meskerem,,
30022300007260,930012300,Meskerem,,
0134232000011026,911228298,Meskerem,,
0150142000013949,911134730,Meskerem,,
0066042000003776,911234747,Meskerem,,
0059112000003522,911234747,Meskerem,,
0150022000013937,961585858,Meskerem,,
0100042000004311,911239002,Meskerem,,
0132152000010007,930469372,Meskerem,,
0132622000012969,922304805,Meskerem,,
0100632000004478,944031888,Meskerem,,
0128432000009047,987151515,Meskerem,,
0126952000008428,977398623,Meskerem,,
0104642000005055,933683247,Meskerem,,
0145522000012977,911880277,Meskerem,,
0152052000014090,910642618,Meskerem,,
30020300007237,913227478,Meskerem,,
300209200007241,920600212,Meskerem,,
0121292000006470,934471339,Meskerem,,
30022700007274,911735022,Meskerem,,
0145362000012947,911027667,Meskerem,,
2518330,960767690,Meskerem,,
2517276,960767690,Meskerem,,
2518331,960767690,Meskerem,,
2516979,915740233,Meskerem,,
251934,913279595,Meskerem,,
2517545,911492680,Meskerem,,
251929,913279595,Meskerem,ETHIOPIAN COMMODITY EXCHANGE,Voice-Premium
601524,933683247,Meskerem,,
601516,912234937,Meskerem,,
601645,911296948,Meskerem,,
601995,917841802,Meskerem,,
601724,919080817,Meskerem,,
601801,906229655,Meskerem,,
601612,911898543,Meskerem,,
601599,911551655,Meskerem,,
601973,922156309,Meskerem,,
601603,911736405,Meskerem,,
601932,906229655,Meskerem,,
601508,940001818,Meskerem,,
601755,943643279,Meskerem,,
601652,911592914,Meskerem,,
601743,911592914,Meskerem,,
601680,912769161,Meskerem,,
601511,917091887,Meskerem,,
601729,915928438,Meskerem,,
601802,966229277,Meskerem,,
601702,933683247,Meskerem,,
601605,921437521,Meskerem,,
601704,933683247,Meskerem,,
601769,911736405,Meskerem,,
601556,915924260,Meskerem,,
601976,944031888,Meskerem,,
601731,911296948,Meskerem,,
