service_id,phone,account_manager,partner_name,service
133312000012908,913979565,Aziza,Highlight Tradings,API
136242000012237,911866243,Aziza,Highest Techinology plc,API
30020200007236,941661134,Aziza,Shimmelis Abebe Megersa,API
73012000003917,911875133,Aziza,Tecido Trading plc,API
300066200007066,944048974,Aziza,ELU STAR TRADING PLC,API
134892000011904,912764231,Aziza,Elpida Trading PLC,API
300100200007100,953127022,Aziza,Tsehay Ashagrie Telecommunication VAS,API
151512000014110,929247528,Aziza,Amha Wehibe Importer and Technology,API
151552000014125,912105098,Aziza,Fikrie Gebeyew Telecommunication VAS,API
151652000014053,953127022,Aziza,Tsehay Ashagrie Telecommunication VAS,API
156902000014658,936258910,Aziza,Fraf IT Solution,API
152502000014135,913704717,Aziza,Matrix Consultancy/Berihun Gezahegn,API
111052000006648,927821805,Aziza,Enlight Technologies PLC,API
153242000014191,913243043,Aziza,Dartech it business solution,API
300004200007005,912611166,Aziza,Cloud Information Technology plc,API
148112000013330,911982010,Aziza,Bealu Vas,API
136912000012413,NA,Aziza,Royd Technology PLC,API
300050200007050,930011930,Aziza,SAN METROPOLITAN PLC,API
156782000014648,911246654,Aziza,Beta Systems PLC,API
30012500007139,992010219,Aziza,FREMNATOS ELDERS MENTALY DIS AND CHILD CHARTY ORG,API
151092000014023,NA,Aziza,Mekonnen Mulugeta VAS,API
156882000014654,911982010,Aziza,BEALU DEMISSIE GORFE,API
300056200007056,911975549,Aziza,Double Y Engineering PLC,API
157042000014712,979596565,Aziza,PO Vas And software solutions,API
30019300007237,NA,Aziza,Lekene One Member PLC,API
30023800007287,NA,Aziza,SkyKin Technologies  plc,API
30024500007304,978203044,Aziza,Feliz VAS,API
0057152000003854,920289273,Aziza,MEKEDONIA HOME FOR THE ELDERY AND THE MENTALLY DISABLE,MT
0152442000014123,911603070,Aziza,CHILDREN S HEART FUND ETH . .,MT
0100322000004412,929247528,Aziza,Ameha Wehibe Ict Service Co.,MT
0046022000003040,930249999,Aziza,SALIM AWOD VALUE ADDED SERVICES,MT
0092002000004174,985202952,Aziza,VASMAS TRADING PLC,MT
0100352000004431,908766580,Aziza,WALEED A ABDULARAHAMAN,MT
0104062000005062,935061284,Aziza,MOHAMMED ABDO NAJI,MT
0046022000002999,930249999,Aziza,SALIM AWOD VALUE ADDED SERVICES,MO
0106432000005204,907777779,Aziza,Awad Salim Awade,MT
0130082000009596,NA,Aziza,CLASSIC TECHNOLOGY P.L.C,MO
0136722000012336,910449044,Aziza,MEDON IT SOLUTION PLC,MT
30018200007227,911003269,Aziza,MASTER ABINET KEBEDE FOUNDATION,MT
0128192000008804,NA,Aziza,BLUE LINE  IT SOLUTION PLC,MT
30024200007300,977808080,Aziza,HELLO DELALA COMMISION SERVICE PLC,MO
30023400007284,960162217,Aziza,URA TECHNOLOGIES PLC,MO
30021500007247,NA,Aziza,GIVE WATER,MT
30027100007356,916851387,Aziza,SIDAMA NATIONAL REGIONAL STATE HAWASSA CITY ADMINISTRATION,MO
2516321,NA,Aziza,One Love Broadcasting,MO
2518123,919312853,Aziza,AFALAGI TRADING P.L.C,Voice-Premium
2518184,977657253,Aziza,E T S CALL CENTER,Voice-Premium
2518131,920289273,Aziza,MEKEDONIA HOME FOR THE ELDERY AND THE MENTALLY DISABLE,
2516636,929920742,Aziza,MEDANIT MEDICAL SEARCH ENGINE,Voice-Premium
2519394,964686464,Aziza,WECARE INTEGRATED HEALTH NETWORK,Voice-Premium
